Date,Transaction ID,Product Name,Quantity Sold,Unit Price,Total Sale,Customer ID,Region
2024-04-18,91097,Gadget B,20,12.5,250.0,90567,North
2024-02-08,75996,Widget A,14,5.99,83.86,24995,South
2024-04-10,12918,Widget C,10,9.99,99.9,77052,South
2024-09-11,38937,Gizmo D,1,19.99,19.99,52448,East
2024-05-04,54400,Gadget B,13,12.5,162.5,37032,West
2024-07-25,72544,Gadget B,20,12.5,250.0,48731,West
2024-02-16,73165,Gadget B,14,12.5,175.0,6805,North
2024-08-01,59090,Gizmo D,12,19.99,239.88,2408,West
2024-01-28,44783,Widget A,11,5.99,65.89,26946,South
2024-06-20,11744,Gadget B,10,12.5,125.0,5814,South
2024-02-03,4143,Gadget B,1,12.5,12.5,92553,North
2024-07-12,45018,Gadget B,1,12.5,12.5,41523,North
2024-08-16,26833,Gizmo D,15,19.99,299.85,52473,North
2024-07-28,85926,Gadget B,3,12.5,37.5,74885,West
2024-06-01,75201,Gizmo D,17,19.99,339.83,88990,South
2024-01-01,73940,Widget A,11,5.99,65.89,3777,East
2024-05-28,97288,Gizmo D,1,19.99,19.99,10142,South
2024-06-01,57869,Gadget B,15,12.5,187.5,7557,West
2024-08-14,87217,Gadget B,7,12.5,87.5,70815,South
2024-02-06,69274,Widget C,7,9.99,69.93,16669,East
2024-06-20,51349,Gadget B,15,12.5,187.5,22356,North
2024-08-14,88743,Widget C,1,9.99,9.99,36776,South
2024-07-02,10759,Widget C,17,9.99,169.83,56243,South
2024-01-23,80547,Gizmo D,7,19.99,139.93,49163,North
2024-05-04,17668,Widget C,3,9.99,29.97,18715,South
2024-02-16,38522,Gizmo D,1,19.99,19.99,79763,East
2024-08-15,90915,Widget A,13,5.99,77.87,79188,East
2024-01-26,17615,Gizmo D,4,19.99,79.96,31361,East
2024-05-21,35149,Gizmo D,6,19.99,119.94,40456,North
2024-06-25,99342,Gadget B,3,12.5,37.5,23826,South
2024-09-26,24032,Widget A,14,5.99,83.86,22896,West
2024-05-22,45112,Gizmo D,15,19.99,299.85,92745,North
2024-01-22,92790,Gadget B,10,12.5,125.0,90419,North
2024-05-21,55055,Gadget B,11,12.5,137.5,49787,East
2024-07-05,49437,Widget A,4,5.99,23.96,7596,West
2024-08-20,65301,Widget C,1,9.99,9.99,68314,North
2024-09-26,7747,Widget A,13,5.99,77.87,51033,West
2024-05-23,59768,Gizmo D,6,19.99,119.94,50602,South
2024-01-18,85880,Widget C,2,9.99,19.98,49353,North
2024-09-13,34696,Gizmo D,6,19.99,119.94,34307,North
2024-02-02,75204,Widget C,11,9.99,109.89,84587,West
2024-07-23,59587,Widget C,14,9.99,139.86,17661,East
2024-07-31,84087,Gadget B,13,12.5,162.5,25644,South
2024-08-25,97708,Widget C,11,9.99,109.89,24704,South
2024-01-25,25484,Gizmo D,13,19.99,259.87,62824,West
2024-01-19,6396,Widget C,15,9.99,149.85,64178,South
2024-08-03,33748,Widget A,14,5.99,83.86,47030,East
2024-05-10,35099,Widget C,17,9.99,169.83,40007,West
2024-02-06,991,Gizmo D,14,19.99,279.86,96757,West
2024-08-04,85022,Gizmo D,13,19.99,259.87,70753,East
2024-03-06,50312,Gizmo D,10,19.99,199.9,60938,South
2024-09-11,83754,Widget A,17,5.99,101.83,87500,West
2024-05-02,36961,Gizmo D,7,19.99,139.93,62569,East
2024-02-04,21684,Widget A,6,5.99,35.94,72870,East
2024-06-11,82560,Widget A,14,5.99,83.86,70234,North
2024-06-27,20086,Gizmo D,7,19.99,139.93,63987,South
2024-09-26,9064,Widget C,1,9.99,9.99,15651,North
2024-01-01,11409,Gizmo D,5,19.99,99.95,23453,East
2024-08-20,88153,Widget A,13,5.99,77.87,22581,South
2024-01-28,1510,Gizmo D,18,19.99,359.82,22435,South
2024-06-26,95200,Gizmo D,3,19.99,59.97,53591,South
2024-08-02,73946,Gizmo D,4,19.99,79.96,85674,East
2024-02-05,9784,Widget C,13,9.99,129.87,49599,South
2024-07-24,38692,Widget C,8,9.99,79.92,79160,South
2024-02-28,18993,Widget C,5,9.99,49.95,54307,East
2024-04-05,19956,Gadget B,6,12.5,75.0,5429,East
2024-08-31,96996,Gizmo D,12,19.99,239.88,8279,North
2024-06-27,81464,Gizmo D,13,19.99,259.87,22866,North
2024-09-13,4477,Widget C,14,9.99,139.86,11483,East
2024-05-10,68585,Gadget B,18,12.5,225.0,66358,East
2024-07-16,84228,Gadget B,18,12.5,225.0,9589,West
2024-06-11,88368,Gizmo D,11,19.99,219.89,49598,East
2024-03-24,64929,Widget A,17,5.99,101.83,87071,South
2024-03-17,39882,Widget C,12,9.99,119.88,29768,South
2024-03-08,35769,Widget C,4,9.99,39.96,15064,West
2024-06-28,65319,Widget C,2,9.99,19.98,2417,East
2024-08-19,83094,Gadget B,9,12.5,112.5,11426,West
2024-04-19,47521,Gadget B,9,12.5,112.5,81602,North
2024-09-04,60380,Widget C,10,9.99,99.9,18511,North
2024-09-25,9542,Widget C,19,9.99,189.81,53314,East
2024-06-15,3416,Widget A,19,5.99,113.81,95364,East
2024-04-08,45926,Widget C,17,9.99,169.83,38955,East
2024-04-19,32261,Gadget B,13,12.5,162.5,89916,South
2024-08-01,54017,Gadget B,8,12.5,100.0,56224,West
2024-08-22,16759,Gadget B,19,12.5,237.5,5724,East
2024-03-13,34315,Gizmo D,6,19.99,119.94,35539,North
2024-05-20,7010,Widget C,1,9.99,9.99,8182,South
2024-07-05,31420,Widget C,4,9.99,39.96,23745,North
2024-09-13,38736,Widget C,6,9.99,59.94,87460,East
2024-07-01,344,Widget C,16,9.99,159.84,45284,East
2024-01-22,81812,Gizmo D,17,19.99,339.83,72374,East
2024-09-10,22038,Gizmo D,13,19.99,259.87,32744,South
2024-01-08,42852,Widget A,15,5.99,89.85,33755,East
2024-04-04,73448,Widget A,4,5.99,23.96,11189,South
2024-01-07,51362,Gizmo D,2,19.99,39.98,43263,South
2024-08-29,78846,Widget A,3,5.99,17.97,13436,West
2024-09-29,99103,Gadget B,6,12.5,75.0,53291,North
2024-08-22,8736,Gizmo D,3,19.99,59.97,84754,East
2024-02-06,48525,Gizmo D,12,19.99,239.88,49601,North
2024-02-26,45278,Widget C,3,9.99,29.97,14394,East
2024-05-22,10328,Widget C,9,9.99,89.91,84073,West
2024-03-11,52065,Widget A,12,5.99,71.88,45561,South
2024-09-29,21493,Widget A,10,5.99,59.9,88701,North
2024-02-14,83227,Widget A,7,5.99,41.93,82693,North
2024-09-01,16845,Widget C,5,9.99,49.95,79050,South
2024-01-07,845,Gizmo D,5,19.99,99.95,41315,East
2024-08-22,36758,Gizmo D,20,19.99,399.8,2416,South
2024-09-10,54366,Gizmo D,3,19.99,59.97,16576,South
2024-09-06,11231,Gadget B,15,12.5,187.5,38781,West
2024-01-08,79773,Widget C,12,9.99,119.88,87788,East
2024-09-27,77396,Gizmo D,11,19.99,219.89,2684,South
2024-02-12,35309,Widget A,7,5.99,41.93,22822,North
2024-05-16,7012,Gizmo D,7,19.99,139.93,850,South
2024-07-16,53813,Gadget B,4,12.5,50.0,41818,West
2024-02-01,7114,Widget A,4,5.99,23.96,79263,South
2024-01-31,20528,Gizmo D,9,19.99,179.91,41286,West
2024-02-14,3072,Gizmo D,18,19.99,359.82,66968,East
2024-02-07,48644,Gizmo D,9,19.99,179.91,75542,South
2024-08-04,88482,Gizmo D,5,19.99,99.95,11759,West
2024-09-04,98333,Gizmo D,10,19.99,199.9,14085,South
2024-06-26,61876,Gadget B,17,12.5,212.5,98336,West
2024-09-12,27833,Widget A,20,5.99,119.8,55327,South
2024-03-13,27851,Gizmo D,8,19.99,159.92,57427,East
2024-02-29,79809,Widget A,2,5.99,11.98,84816,West
2024-08-14,78683,Gizmo D,20,19.99,399.8,40097,West
2024-09-07,84153,Widget A,20,5.99,119.8,3090,East
2024-06-05,1509,Widget A,4,5.99,23.96,58042,East
2024-05-05,99001,Widget C,18,9.99,179.82,31838,East
2024-05-28,31889,Gadget B,11,12.5,137.5,70599,North
2024-06-25,2336,Gadget B,11,12.5,137.5,6034,West
2024-01-01,23124,Gadget B,7,12.5,87.5,73310,North
2024-03-16,28912,Widget A,5,5.99,29.95,39094,North
2024-09-28,82370,Widget A,10,5.99,59.9,270,North
2024-07-16,32262,Gizmo D,2,19.99,39.98,82926,South
2024-02-08,48127,Widget C,7,9.99,69.93,8481,North
2024-03-28,18090,Widget A,4,5.99,23.96,51542,East
2024-02-24,13264,Widget C,8,9.99,79.92,63844,North
2024-04-08,66497,Gizmo D,5,19.99,99.95,99248,East
2024-09-27,81218,Gadget B,9,12.5,112.5,98945,South
2024-01-22,82092,Widget C,19,9.99,189.81,3792,East
2024-08-13,94920,Gadget B,2,12.5,25.0,57884,North
2024-07-23,12880,Widget A,5,5.99,29.95,71640,South
2024-07-17,93594,Gizmo D,18,19.99,359.82,2220,South
2024-05-02,53092,Widget A,5,5.99,29.95,46966,East
2024-03-22,18168,Gizmo D,12,19.99,239.88,46637,West
2024-03-19,24113,Gadget B,4,12.5,50.0,92297,North
2024-01-14,99137,Gizmo D,13,19.99,259.87,309,South
2024-01-15,60945,Gadget B,14,12.5,175.0,3225,West
2024-04-30,88914,Widget A,4,5.99,23.96,72741,West
2024-03-13,57349,Gizmo D,12,19.99,239.88,72063,East
2024-03-25,35154,Gadget B,2,12.5,25.0,47275,West
2024-09-09,36013,Gadget B,20,12.5,250.0,45531,North
2024-06-18,12888,Gadget B,18,12.5,225.0,19783,East
2024-07-29,41050,Gizmo D,18,19.99,359.82,78292,East
2024-06-29,10873,Widget A,18,5.99,107.82,46630,East
2024-09-04,13568,Widget C,4,9.99,39.96,97353,North
2024-05-17,39874,Gizmo D,12,19.99,239.88,63137,West
2024-08-04,29444,Widget A,17,5.99,101.83,40646,South
2024-05-30,51085,Widget C,1,9.99,9.99,3348,North
2024-04-18,8167,Gadget B,2,12.5,25.0,87919,South
2024-06-08,62784,Widget A,2,5.99,11.98,47005,West
2024-04-30,61223,Widget C,15,9.99,149.85,38873,South
2024-04-01,51770,Widget A,5,5.99,29.95,22272,North
2024-02-09,99883,Gizmo D,10,19.99,199.9,36452,South
2024-06-27,41391,Gizmo D,3,19.99,59.97,63512,South
2024-09-28,61783,Widget C,11,9.99,109.89,99313,East
2024-02-15,13854,Widget C,3,9.99,29.97,28862,East
2024-08-26,82972,Gizmo D,6,19.99,119.94,81206,West
2024-01-04,40830,Gadget B,5,12.5,62.5,40906,North
2024-08-31,31597,Widget C,6,9.99,59.94,81277,East
2024-09-09,65389,Widget C,16,9.99,159.84,28030,West
2024-01-19,12531,Gadget B,3,12.5,37.5,82065,South
2024-02-15,5949,Gadget B,2,12.5,25.0,44637,South
2024-02-02,62063,Widget A,8,5.99,47.92,3797,South
2024-06-30,14052,Widget A,19,5.99,113.81,29806,North
2024-09-23,3823,Gadget B,4,12.5,50.0,36582,South
2024-08-25,98796,Gadget B,2,12.5,25.0,2903,North
2024-06-22,62357,Gadget B,5,12.5,62.5,41494,North
2024-05-23,94305,Widget C,6,9.99,59.94,39041,West
