Date,Transaction ID,Product Name,Quantity Sold,Unit Price,Total Sale,Customer ID,Region
2024-06-03,86644,Gizmo D,16,19.99,319.84,96682,East
2024-01-16,71661,Gizmo D,15,19.99,299.85,3205,South
2024-09-28,30567,Gadget B,15,12.5,187.5,56993,North
2024-09-06,7830,Gizmo D,5,19.99,99.95,25509,South
2024-09-18,85547,Widget A,18,5.99,107.82,76294,South
2024-03-03,53241,Widget A,16,5.99,95.84,18001,South
2024-06-27,40417,Gizmo D,10,19.99,199.9,53233,West
2024-02-15,81774,Gadget B,1,12.5,12.5,37353,North
2024-04-24,25865,Gadget B,9,12.5,112.5,45667,East
2024-05-27,3799,Gadget B,17,12.5,212.5,64734,South
2024-01-07,91545,Widget A,16,5.99,95.84,58691,East
2024-02-26,73801,Gizmo D,17,19.99,339.83,46136,West
2024-08-18,15706,Gizmo D,12,19.99,239.88,75002,North
2024-02-02,82838,Gadget B,20,12.5,250.0,76466,West
2024-05-06,70290,Widget A,3,5.99,17.97,77709,West
2024-09-23,67750,Widget A,20,5.99,119.8,98855,North
2024-06-18,51185,Widget C,6,9.99,59.94,59015,South
2024-03-12,61634,Gadget B,15,12.5,187.5,74814,West
2024-07-03,92791,Widget A,20,5.99,119.8,36788,South
2024-06-22,13309,Widget A,8,5.99,47.92,62214,South
2024-02-06,60462,Widget A,18,5.99,107.82,70901,North
2024-05-27,78080,Widget A,3,5.99,17.97,38243,West
2024-07-02,92690,Gizmo D,17,19.99,339.83,95337,West
2024-03-07,49846,Widget A,12,5.99,71.88,25366,North
2024-05-11,9348,Gizmo D,15,19.99,299.85,5956,West
2024-04-27,33201,Gadget B,2,12.5,25.0,92879,North
2024-02-28,43203,Gizmo D,10,19.99,199.9,4718,North
2024-03-18,46601,Widget A,6,5.99,35.94,39445,North
2024-04-02,52182,Gadget B,18,12.5,225.0,18395,West
2024-04-05,86597,Gizmo D,19,19.99,379.81,88216,East
2024-06-15,90823,Gadget B,18,12.5,225.0,9812,West
2024-06-04,73909,Gadget B,13,12.5,162.5,1163,North
2024-08-07,19005,Widget C,3,9.99,29.97,79949,East
2024-01-23,45718,Gizmo D,15,19.99,299.85,18899,East
2024-04-18,43709,Gizmo D,3,19.99,59.97,14647,North
2024-07-31,31168,Widget C,15,9.99,149.85,56234,East
2024-03-20,81402,Gadget B,9,12.5,112.5,70944,East
2024-05-07,59299,Gizmo D,20,19.99,399.8,73159,North
2024-01-26,74132,Widget A,19,5.99,113.81,49259,South
2024-07-05,87467,Gizmo D,20,19.99,399.8,30255,North
2024-04-18,40884,Gizmo D,8,19.99,159.92,28998,East
2024-04-25,31539,Gizmo D,7,19.99,139.93,62919,West
2024-09-24,46951,Widget C,3,9.99,29.97,1524,South
2024-06-09,19293,Widget A,10,5.99,59.9,94036,North
2024-08-28,4776,Gadget B,20,12.5,250.0,8873,South
2024-08-17,63569,Gizmo D,13,19.99,259.87,55525,North
2024-07-23,26375,Gizmo D,18,19.99,359.82,45469,East
2024-02-04,47172,Gizmo D,2,19.99,39.98,12614,North
2024-03-24,75245,Gizmo D,7,19.99,139.93,71968,East
2024-07-10,54156,Widget A,14,5.99,83.86,71767,North
2024-06-25,79501,Gadget B,5,12.5,62.5,19034,East
2024-06-27,1542,Widget A,4,5.99,23.96,65111,East
2024-06-21,48521,Widget C,17,9.99,169.83,9511,North
2024-01-26,34244,Widget C,17,9.99,169.83,48338,South
2024-05-13,35636,Gizmo D,1,19.99,19.99,92201,South
2024-05-25,52555,Widget A,5,5.99,29.95,20795,East
2024-06-29,85399,Gizmo D,10,19.99,199.9,81976,North
2024-04-19,7067,Widget C,11,9.99,109.89,48259,East
2024-03-02,29953,Widget C,5,9.99,49.95,69650,West
2024-04-22,49140,Widget A,15,5.99,89.85,534,East
2024-03-18,47437,Widget A,20,5.99,119.8,13714,East
2024-06-23,816,Gadget B,11,12.5,137.5,76748,West
2024-05-30,7271,Gizmo D,1,19.99,19.99,46883,North
2024-05-31,36532,Gadget B,9,12.5,112.5,83058,South
2024-05-02,40894,Widget C,2,9.99,19.98,92903,East
2024-04-16,26706,Widget A,12,5.99,71.88,81638,South
2024-08-05,43746,Widget A,11,5.99,65.89,13889,South
2024-02-16,25702,Gadget B,19,12.5,237.5,15603,West
2024-06-18,93176,Gadget B,15,12.5,187.5,17407,East
2024-08-13,56038,Gadget B,9,12.5,112.5,92091,West
2024-04-21,82696,Widget C,7,9.99,69.93,38291,West
2024-01-27,50283,Gizmo D,4,19.99,79.96,50786,South
2024-05-08,36548,Gadget B,15,12.5,187.5,29296,West
2024-04-03,45140,Gadget B,6,12.5,75.0,67443,North
2024-09-03,76080,Gadget B,4,12.5,50.0,95109,North
2024-05-03,96133,Gadget B,5,12.5,62.5,45740,West
2024-01-09,18005,Gadget B,7,12.5,87.5,71118,South
2024-04-08,45780,Widget C,11,9.99,109.89,98079,South
2024-07-19,88163,Widget C,12,9.99,119.88,77648,West
2024-02-04,6947,Gizmo D,2,19.99,39.98,26311,South
2024-08-22,58457,Widget C,4,9.99,39.96,52608,South
2024-05-06,89651,Widget C,12,9.99,119.88,15790,South
2024-03-25,99727,Widget C,14,9.99,139.86,33022,South
2024-07-05,77585,Gizmo D,18,19.99,359.82,20355,East
2024-05-27,51316,Gizmo D,4,19.99,79.96,35002,West
2024-09-04,52730,Gadget B,7,12.5,87.5,90131,East
2024-09-04,70138,Widget A,19,5.99,113.81,7443,East
2024-09-14,76541,Gizmo D,13,19.99,259.87,38776,South
2024-08-29,69074,Widget C,5,9.99,49.95,48852,East
2024-04-05,16568,Widget C,2,9.99,19.98,64703,North
2024-02-25,50089,Gadget B,10,12.5,125.0,71552,West
2024-06-18,98328,Gizmo D,12,19.99,239.88,38013,North
2024-09-03,72732,Widget C,12,9.99,119.88,46954,West
